2001000001|感受停在我发端的指尖|g an sh ou t ing z ai w o f a d uan d e SP zh i j ian AP|G#4/Ab4 G#4/Ab4 G#4/Ab4 G#4/Ab4 F#4/Gb4 F#4/Gb4 F#4/Gb4 F#4/Gb4 E4 E4 E4 E4 D#4/Eb4 D#4/Eb4 D#4/Eb4 D#4/Eb4 rest E4 E4 E4 E4 rest|0.253030 0.253030 0.428030 0.428030 0.320870 0.320870 0.358110 0.358110 0.218610 0.218610 0.519380 0.519380 0.351070 0.351070 0.152260 0.152260 0.089470 0.405810 0.405810 0.696660 0.696660 0.284630|0.0317 0.22133 0.15421 0.27382 0.06335 0.25752 0.07101 0.2871 0.03623 0.18238 0.18629 0.33309 0.01471 0.33636 0.01415 0.13811 0.08947 0.12862 0.27719 0.07962 0.61704 0.28463|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2001000002|如何瞬间冻结时间|r u h e sh un j ian AP SP d ong j ie sh i j ian SP|B3 B3 B3 B3 B3 B3 G#4/Ab4 G#4/Ab4 rest rest B3 B3 B3 B3 B3 B3 F#4/Gb4 F#4/Gb4 rest|0.294760 0.294760 0.283550 0.283550 0.795250 0.795250 0.992200 0.992200 0.297130 0.104830 0.311040 0.311040 0.214620 0.214620 0.782750 0.782750 1.519540 1.519540 1.179120|0.06588 0.22888 0.11684 0.16671 0.18746 0.60779 0.11194 0.88026 0.29713 0.10483 0.03166 0.27938 0.05057 0.16405 0.21149 0.57126 0.13926 1.38028 1.17912|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2001000003|记住望着我坚定的双眼|j i zh u w ang zh e w o SP j ian d ing d e sh uang y an AP|G#4/Ab4 G#4/Ab4 G#4/Ab4 G#4/Ab4 F#4/Gb4 F#4/Gb4 F#4/Gb4 F#4/Gb4 E4 E4 rest E4 E4 D#4/Eb4 D#4/Eb4 D#4/Eb4 D#4/Eb4 E4 E4 E4 E4 rest|0.388470 0.388470 0.368320 0.368320 0.363510 0.363510 0.316690 0.316690 0.161350 0.161350 0.055570 0.495580 0.495580 0.342860 0.342860 0.141750 0.141750 0.398360 0.398360 0.785070 0.785070 0.317450|0.09945 0.28902 0.08103 0.28729 0.05083 0.31268 0.04303 0.27366 0.03603 0.12532 0.05557 0.15191 0.34367 0.02357 0.31929 0.02939 0.11236 0.21916 0.1792 0.22549 0.55958 0.31745|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2001000004|也许已经没有明天|y e x v y i j ing AP m ei y ou m ing t ian SP AP|B3 B3 B3 B3 B3 B3 G#4/Ab4 G#4/Ab4 rest B3 B3 B3 B3 B3 B3 F#4/Gb4 F#4/Gb4 rest rest|0.236860 0.236860 0.426110 0.426110 0.660620 0.660620 1.021220 1.021220 0.409380 0.243270 0.243270 0.327560 0.327560 0.741700 0.741700 1.335140 1.335140 0.591900 0.515310|0.07979 0.15707 0.2089 0.21721 0.12179 0.53883 0.16915 0.85207 0.40938 0.06617 0.1771 0.04273 0.28483 0.11939 0.62231 0.17586 1.15928 0.5919 0.51531|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2001000005|面对浩瀚的星海我们微小得像尘埃|m ian d ui h ao h an an d e x ing h ai ai ai AP w o m en w ei x iao d e x iang ch en ai ai ai SP|C#4/Db4 C#4/Db4 D#4/Eb4 D#4/Eb4 C#4/Db4 C#4/Db4 D#4/Eb4 D#4/Eb4 E4 D#4/Eb4 D#4/Eb4 E4 E4 G#4/Ab4 G#4/Ab4 A4 G#4/Ab4 rest C#4/Db4 C#4/Db4 C#4/Db4 C#4/Db4 D#4/Eb4 D#4/Eb4 C#4/Db4 C#4/Db4 D#4/Eb4 D#4/Eb4 E4 E4 E4 E4 G#4/Ab4 A4 G#4/Ab4 rest|0.196990 0.196990 0.102120 0.102120 0.304680 0.304680 0.096780 0.096780 0.100220 0.150010 0.150010 0.361460 0.361460 0.221070 0.221070 0.183240 0.478670 0.384620 0.106510 0.106510 0.143020 0.143020 0.169480 0.169480 0.224180 0.224180 0.089360 0.089360 0.414460 0.414460 0.378050 0.378050 0.162790 0.207380 0.317260 0.297040|0.02765 0.16934 0.01874 0.08338 0.0821 0.22258 0.0693 0.02748 0.10022 0.07137 0.07864 0.12471 0.23675 0.12356 0.09751 0.18324 0.47867 0.38462 0.0405 0.06601 0.08303 0.05999 0.04687 0.12261 0.09778 0.1264 0.02321 0.06615 0.11958 0.29488 0.06723 0.31082 0.16279 0.20738 0.31726 0.29704|0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0
2001000006|漂浮在一片无奈|p iao f u z ai ai ai AP SP y i i p ian ian ian w u n ai SP AP|E4 E4 F#4/Gb4 F#4/Gb4 G#4/Ab4 G#4/Ab4 A4 G#4/Ab4 rest rest E4 E4 F#4/Gb4 G#4/Ab4 G#4/Ab4 A4 G#4/Ab4 E4 E4 F#4/Gb4 F#4/Gb4 rest rest|0.185230 0.185230 0.177410 0.177410 0.193930 0.193930 0.259670 0.299340 0.215550 0.031770 0.197520 0.197520 0.165450 0.184760 0.184760 0.212290 0.246960 0.440370 0.440370 1.524950 1.524950 0.855830 0.559100|0.06011 0.12512 0.07517 0.10224 0.08603 0.1079 0.25967 0.29934 0.21555 0.03177 0.05175 0.14577 0.16545 0.0748 0.10996 0.21229 0.24696 0.09617 0.3442 0.1437 1.38125 0.85583 0.5591|0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0
2001000007|缘份让我们相遇乱世以外|y van f en r ang w o m en x iang y v AP l uan sh i y i w ai AP|D#4/Eb4 D#4/Eb4 E4 E4 E4 E4 F#4/Gb4 F#4/Gb4 F#4/Gb4 F#4/Gb4 G#4/Ab4 G#4/Ab4 G#4/Ab4 G#4/Ab4 rest B4 B4 B4 B4 C#5/Db5 C#5/Db5 C#5/Db5 C#5/Db5 rest|0.323070 0.323070 0.325290 0.325290 0.483290 0.483290 0.212040 0.212040 0.294600 0.294600 0.465110 0.465110 0.364020 0.364020 0.137130 0.151270 0.151270 0.270860 0.270860 0.434770 0.434770 1.570380 1.570380 0.462970|0.12204 0.20103 0.11182 0.21347 0.09912 0.38417 0.05549 0.15655 0.10139 0.19321 0.17622 0.28889 0.0609 0.30312 0.13713 0.03605 0.11522 0.14541 0.12545 0.12186 0.31291 0.09403 1.47635 0.46297|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2001000008|命运却要我们危难中相爱|m ing y van q ve y ao w o m en w ei n an zh ong x iang ai SP AP|E4 E4 F#4/Gb4 F#4/Gb4 F#4/Gb4 F#4/Gb4 G#4/Ab4 G#4/Ab4 G#4/Ab4 G#4/Ab4 B4 B4 B4 B4 E4 E4 G#4/Ab4 G#4/Ab4 F#4/Gb4 F#4/Gb4 F#4/Gb4 rest rest|0.332160 0.332160 0.315140 0.315140 0.371590 0.371590 0.285140 0.285140 0.394510 0.394510 0.358480 0.358480 0.524060 0.524060 0.176940 0.176940 0.239510 0.239510 0.494880 0.494880 1.260320 0.317390 0.358080|0.03995 0.29221 0.08516 0.22998 0.12953 0.24206 0.09533 0.18981 0.09528 0.29923 0.06899 0.28949 0.03119 0.49287 0.048 0.12894 0.04204 0.19747 0.1539 0.34098 1.26032 0.31739 0.35808|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2001000009|也许未来遥远在光年之外|y e x v w ei l ai y ao y van z ai SP g uang n ian zh i w ai SP AP|E4 E4 E4 E4 E4 E4 F#4/Gb4 F#4/Gb4 F#4/Gb4 F#4/Gb4 G#4/Ab4 G#4/Ab4 G#4/Ab4 G#4/Ab4 rest B4 B4 B4 B4 C#5/Db5 C#5/Db5 C#5/Db5 C#5/Db5 rest rest|0.226010 0.226010 0.367780 0.367780 0.377380 0.377380 0.308330 0.308330 0.397890 0.397890 0.369570 0.369570 0.452320 0.452320 0.075060 0.237700 0.237700 0.272190 0.272190 0.325600 0.325600 1.446250 1.446250 0.243310 0.346690|0.11666 0.10935 0.23067 0.13711 0.14195 0.23543 0.12932 0.17901 0.16096 0.23693 0.19611 0.17346 0.08484 0.36748 0.07506 0.0593 0.1784 0.06402 0.20817 0.07175 0.25385 0.093 1.35325 0.24331 0.34669|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
2001000010|我愿守候未知里为你等待|w o y van sh ou h ou w ei zh i l i AP w ei n i SP d eng d ai AP|E4 E4 F#4/Gb4 F#4/Gb4 F#4/Gb4 F#4/Gb4 G#4/Ab4 G#4/Ab4 G#4/Ab4 G#4/Ab4 B4 B4 B4 B4 rest E4 E4 G#4/Ab4 G#4/Ab4 rest F#4/Gb4 F#4/Gb4 F#4/Gb4 F#4/Gb4 rest|0.302770 0.302770 0.288530 0.288530 0.402910 0.402910 0.447020 0.447020 0.296470 0.296470 0.202850 0.202850 0.466880 0.466880 0.207550 0.135530 0.135530 0.337900 0.337900 0.070010 0.249830 0.249830 0.392400 0.392400 0.210080|0.10342 0.19935 0.06127 0.22726 0.16322 0.23969 0.12336 0.32366 0.07033 0.22614 0.09677 0.10608 0.18788 0.279 0.20755 0.06243 0.0731 0.09532 0.24258 0.07001 0.03048 0.21935 0.10486 0.28754 0.21008|0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
